"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"diploma","eeax1vsfrenchx0",0.137214137214137,0.649918170568009,-0.512704033353872,3367,4961540,-86.3952586865715
"experience_months","eeax1vsfrenchx0",36.5638740344623,48.0117820202304,-11.4479079857681,3366,4961543,-12.3637135404389
"formation","eeax1vsfrenchx0",2.37304452466907,6.1062351171161,-3.73319059244703,3324,4899924,-85.6736163790283
"male","eeax1vsfrenchx0",0.552002390914525,0.497577724253998,0.0544246666605265,3346,4961450,6.32757882411973
"part_time","eeax1vsfrenchx0",0.0485556238475722,0.220644172292816,-0.172088548445243,3254,4956469,-45.6092253630563
"age","eeax1vsfrenchx1",36.0994525547445,32.6802057279741,3.41924682677045,3288,56774,16.0058027071347
"diploma","eeax1vsfrenchx1",0.137214137214137,0.602983212930721,-0.465769075716584,3367,57723,-74.2799386637114
"experience_months","eeax1vsfrenchx1",36.5638740344623,46.186191961192,-9.62231792672969,3366,57720,-9.85034057741388
"formation","eeax1vsfrenchx1",2.37304452466907,5.445987952442,-3.07294342777293,3324,56941,-69.1780134905041
"male","eeax1vsfrenchx1",0.552002390914525,0.612197948558283,-0.0601955576437578,3346,57813,-6.81420685505984
"part_time","eeax1vsfrenchx1",0.0485556238475722,0.180050718512257,-0.131495094664685,3254,56784,-32.0799967168262
"age","eeax1vsnon-eeax0",36.0994525547445,37.2860973136483,-1.1866447589038,3288,58183,-5.6000513300746
"diploma","eeax1vsnon-eeax0",0.137214137214137,0.397491267615328,-0.26027713040119,3367,58117,-41.5224493704139
"experience_months","eeax1vsnon-eeax0",36.5638740344623,56.3769975745274,-19.8131235400651,3366,58133,-20.1183765583672
"formation","eeax1vsnon-eeax0",2.37304452466907,4.43494855913531,-2.06190403446623,3324,57639,-45.3579946062048
"male","eeax1vsnon-eeax0",0.552002390914525,0.557900712147796,-0.00589832123327161,3346,58134,-0.667114884130815
"part_time","eeax1vsnon-eeax0",0.0485556238475722,0.292156693930263,-0.24360107008269,3254,58075,-57.7996698460397
"age","eeax1vsnon-eeax1",36.0994525547445,42.0066390041494,-5.90718644940485,3288,1205,-15.8743050419571
"diploma","eeax1vsnon-eeax1",0.137214137214137,0.265145554681353,-0.127931417467216,3367,1271,-9.31572061277217
"experience_months","eeax1vsnon-eeax1",36.5638740344623,43.791235059761,-7.22736102529868,3366,1255,-3.59534580194056
"formation","eeax1vsnon-eeax1",2.37304452466907,3.37509788566954,-1.00205336100046,3324,1277,-10.0997707395778
"male","eeax1vsnon-eeax1",0.552002390914525,0.422647527910686,0.129354863003839,3346,1254,7.89166133238461
"part_time","eeax1vsnon-eeax1",0.0485556238475722,0.131795716639209,-0.083240092791637,3254,1214,-7.9900386304879
"age","frenchx0vsfrenchx1",32.0322414820466,32.6802057279741,-0.647964245927461,4962489,56774,-12.3954049173329
"diploma","frenchx0vsfrenchx1",0.649918170568009,0.602983212930721,0.0469349576372883,4961540,57723,22.9204024734551
"experience_months","frenchx0vsfrenchx1",48.0117820202304,46.186191961192,1.82559005903844,4961543,57720,5.79587703050361
"formation","frenchx0vsfrenchx1",6.1062351171161,5.445987952442,0.660247164674101,4899924,56941,75.6497208136147
"male","frenchx0vsfrenchx1",0.497577724253998,0.612197948558283,-0.114620224304284,4961450,57813,-56.2174478736601
"part_time","frenchx0vsfrenchx1",0.220644172292816,0.180050718512257,0.0405934537805587,4956469,56784,25.0089670284734
